p
971
idx PDG vx vy vz vt px py pz
201 2112 200.613 140.21 1535 19.6653 37.058 18.7454 276.807
202 22 105.323 136.501 1535 171.138 0.916983 0.39843 4.57326
203 22 -82.55 109.118 1535 6.97057 -0.0596802 0.187835 0.700956
204 2112 99.6008 154.755 1535 21.7561 6.13507 33.973 246.301
205 22 210.002 142.788 1535 9.20521 0.0150548 0.000784708 0.0823696
206 22 229.997 33.6693 1535 54.6408 0.325505 -7.70503e-05 1.63398
207 22 -166.306 -218.449 1535 7.03622 -0.566473 -0.642732 5.12832
208 22 -155.622 214.991 1535 6.98021 0.0203161 0.278668 1.87822
209 2112 72.5784 222.706 1535 24.0847 6.9334 31.9122 218.359
210 11 -272.645 -98.7373 1535 8.01705 -0.654742 0.864113 4.89011
211 22 -183.073 -104.881 1535 7.96118 -0.00372238 -0.00705601 0.123927
212 22 125.592 -153.985 1535 6.87183 0.118159 -0.274755 2.07039
213 22 173.683 67.4581 1535 7.07923 0.338154 0.108195 3.86823
214 22 -235.401 274.156 1535 219.514 -2.08905 1.6979 8.86654
215 22 -44.6556 235.218 1535 459.281 0.125215 1.10579 4.30313
216 22 -290.077 148.698 1535 7.00047 -0.77807 0.326334 3.38689
217 22 -166.754 -101.627 1535 7.9436 -0.0365457 -0.0610929 0.296858
218 2112 201.963 -279.108 1535 27.3156 26.8277 -27.2506 168.337
219 22 -266.526 67.6686 1535 444.152 -0.0291599 0.0545365 0.21389
220 22 274.988 2.57051 1535 7.00207 0.490393 -0.00287169 2.28097
221 2112 -228.936 -51.9152 1535 22.7617 -40.9658 -13.6549 238.853
222 2112 26.3422 25.4543 1535 17.3526 13.2588 6.74187 322.067
223 2112 39.743 -241.9 1535 34.6407 8.50475 -30.1265 133.758
224 22 -59.6048 -296.668 1535 10.2746 -0.533325 -1.54641 5.90488
225 22 -127.562 97.1007 1535 8.48513 -0.383432 0.153505 4.51288
226 22 136.144 45.2273 1535 170.124 0.0476469 0.0996194 1.25312
227 22 274.89 -246.194 1535 701.37 0.733303 -0.35199 2.14849
228 22 109.263 225.735 1535 1321.51 -0.0837966 3.28898 8.664
229 22 -297.16 -290.536 1535 150.791 -0.973346 -0.282759 4.31734
230 22 162.424 -163.452 1535 6.75829 0.809264 -0.904177 7.55193
231 2112 -53.4936 -57.2614 1535 35.9113 -17.4399 10.8919 129.505
232 2112 19.3616 199.373 1535 21.1023 3.82991 54.0274 251.293
233 2112 158.103 -112.032 1535 16.7106 27.9606 -20.125 337.866
234 22 -167.971 202.324 1535 7.24446 -0.0011723 0.0183937 0.075142
235 2112 -42.828 -25.1519 1535 32.4527 -0.50199 -4.7564 156.371
236 22 -11.4926 99.9015 1535 6.93552 0.0633624 0.393943 7.7852
237 22 19.241 172.597 1535 9.28757 -0.00180156 0.00283606 0.0254102
238 2112 217.912 172.357 1535 1356.71 0.662662 0.132355 3.77302
239 22 179.75 12.747 1535 7.24536 0.30299 0.187447 4.41429
240 22 23.5089 61.5334 1535 206.086 0.24148 0.437602 4.25857
241 22 289.031 136.109 1535 29.5499 0.0143035 0.00223171 0.0622951
242 22 88.9088 202.381 1535 8.26824 0.578651 0.486015 6.38492
243 2112 108.018 120.103 1535 19.2642 24.2796 15.6644 282.616
244 2112 -53.833 253.912 1535 21.3778 -11.7341 48.0711 249.416
245 2112 66.3567 -98.4903 1535 21.3376 17.5266 -23.0956 258.287
